City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,daru,-9.0763,143.2092,79.97,87,98,13.73,PG,1686622608
347,sargatskoye,55.6101,73.4972,52.65,60,100,6.35,RU,1686622608
348,codrington,-38.2667,141.9667,54.99,75,100,15.48,AU,1686622608
349,aripuana,-9.1667,-60.6333,78.84,73,87,0.27,BR,1686622608
350,horta,38.5333,-28.6333,65.01,97,18,1.99,PT,1686622608
351,muli,2.9167,73.5667,83.73,76,96,14.29,MV,1686622608
352,geraldton,-28.7667,114.6,57.61,72,0,11.5,AU,1686622385
353,whangarei,-35.7317,174.3239,60.48,58,0,6.85,NZ,1686622608
354,newman,37.3138,-121.0208,82.74,55,48,5.01,US,1686622608
355,eenhana,-17.4667,16.3333,52.34,20,5,5.14,NA,1686622608
356,lashio,22.9333,97.75,73.26,93,100,1.86,MM,1686622608
357,baskil,38.5679,38.8238,55.24,60,5,0.67,TR,1686622609
358,dullewala,31.8359,71.4362,97.47,26,0,4.88,PK,1686622609
359,rikaze,29.25,88.8833,58.1,43,47,3.74,CN,1686622609
360,broome,42.2506,-75.833,64.02,95,100,12.66,US,1686622517
361,lesosibirsk,58.2358,92.4828,56.98,62,52,7.94,RU,1686622609
362,lhokseumawe,5.1801,97.1507,82.96,72,92,2.35,ID,1686622609
363,poxoreo,-15.8372,-54.3892,65.25,98,81,4.79,BR,1686622609
